#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IL33	IL1RL1	4445550	4433610	9606.ENSP00000370842	9606.ENSP00000233954	0	0	0	0	0.069	0.900	0.900	0.933	0.999
TNF	TNFRSF1B	4448041	4444700	9606.ENSP00000398698	9606.ENSP00000365435	0	0	0	0	0.160	0.887	0.900	0.950	0.999
TERF2IP	TERF2	4437630	4434397	9606.ENSP00000300086	9606.ENSP00000254942	0	0	0	0	0.072	0.997	0.900	0.854	0.999
MAP3K7	TLR3	4443300	4437339	9606.ENSP00000358335	9606.ENSP00000296795	0	0	0	0	0	0.993	0.900	0.389	0.999
IL4R	IL4	4446450	4433533	9606.ENSP00000379111	9606.ENSP00000231449	0	0	0	0	0	0.930	0.900	0.970	0.999
TACR2	TAC1	4444157	4439413	9606.ENSP00000362403	9606.ENSP00000321106	0	0	0	0	0.061	0.667	0.900	0.983	0.999
TRAF6	TLR3	4449680	4437339	9606.ENSP00000433623	9606.ENSP00000296795	0	0	0	0	0	0.993	0.900	0.755	0.999
TRAF6	IRAK1	4449680	4443435	9606.ENSP00000433623	9606.ENSP00000358997	0	0	0	0	0.059	0.826	0.900	0.963	0.999
CCL5	CCR5	4451102	4436956	9606.ENSP00000474412	9606.ENSP00000292303	0	0	0	0	0.181	0.902	0.900	0.959	0.999
TAB2	TLR3	4442887	4437339	9606.ENSP00000356426	9606.ENSP00000296795	0	0	0	0	0	0.993	0.900	0.539	0.999
XIAP	CASP3	4443692	4438651	9606.ENSP00000360242	9606.ENSP00000311032	0	0	0	0	0.061	0.947	0.900	0.937	0.999
JAK2	STAT5B	4445579	4437006	9606.ENSP00000371067	9606.ENSP00000293328	0	0	0	0	0.061	0.645	0.900	0.973	0.999
XIAP	CASP9	4443692	4440164	9606.ENSP00000360242	9606.ENSP00000330237	0	0	0	0	0.051	0.943	0.900	0.887	0.999
TNFRSF9	TNFSF9	4451323	4433948	9606.ENSP00000478699	9606.ENSP00000245817	0	0	0	0	0	0.877	0.900	0.935	0.999
FOS	JUNB	4438204	4437951	9606.ENSP00000306245	9606.ENSP00000303315	0	0	0	0	0.824	0.884	0.900	0.852	0.999
JAK2	STAT5A	4445579	4441128	9606.ENSP00000371067	9606.ENSP00000341208	0	0	0	0	0.095	0.645	0.900	0.973	0.999
HSP90AA1	CDC37	4440643	4433199	9606.ENSP00000335153	9606.ENSP00000222005	0	0	0	0	0.173	0.979	0.900	0.835	0.999
IL6	IL6R	4447254	4443110	9606.ENSP00000385675	9606.ENSP00000357470	0	0	0	0	0	0.870	0.900	0.945	0.999
NFKB1	NFKBIA	4433374	4432983	9606.ENSP00000226574	9606.ENSP00000216797	0	0	0	0.762	0.218	0.988	0.900	0.826	0.999
TNF	TNFRSF1A	4448041	4432688	9606.ENSP00000398698	9606.ENSP00000162749	0	0	0	0	0.061	0.882	0.900	0.951	0.999
SHC1	GRB2	4448165	4446042	9606.ENSP00000401303	9606.ENSP00000376345	0	0	0	0	0.061	0.994	0.900	0.979	0.999
TRAF6	IL1R1	4449680	4447368	9606.ENSP00000433623	9606.ENSP00000386380	0	0	0	0	0	0.993	0.900	0.774	0.999
AGER	S100B	4444498	4436930	9606.ENSP00000364210	9606.ENSP00000291700	0	0	0	0	0	0.974	0.900	0.703	0.999
PSMB9	PSMB10	4444464	4442129	9606.ENSP00000363993	9606.ENSP00000351314	0	0	0	0.755	0.847	0.963	0.900	0.950	0.999
HLA-DRA	HLA-DRB1	4446403	4442321	9606.ENSP00000378786	9606.ENSP00000353099	0	0	0	0.642	0.876	0.931	0.900	0.832	0.999
EPHB4	EFNB2	4442085	4433928	9606.ENSP00000350896	9606.ENSP00000245323	0	0	0	0	0.188	0.784	0.900	0.962	0.999
MSH2	MLH1	4433580	4433549	9606.ENSP00000233146	9606.ENSP00000231790	0.074	0	0.398	0	0.253	0.675	0.900	0.972	0.999
IGF1	IGFBP5	4437883	4433604	9606.ENSP00000302665	9606.ENSP00000233813	0	0	0	0	0	0.973	0.900	0.925	0.999
ATG16L1	ATG5	4445977	4443253	9606.ENSP00000375872	9606.ENSP00000358072	0	0	0	0	0.061	0.990	0.900	0.985	0.999
MAP3K7	TAB2	4443300	4442887	9606.ENSP00000358335	9606.ENSP00000356426	0	0	0	0	0.077	0.994	0.900	0.880	0.999
CUL1	RBX1	4439878	4432932	9606.ENSP00000326804	9606.ENSP00000216225	0	0	0	0	0.067	0.974	0.900	0.957	0.999
TNF	MAP3K7	4448041	4443300	9606.ENSP00000398698	9606.ENSP00000358335	0	0	0	0	0	0.993	0.900	0.445	0.999
VTN	SERPINE1	4433357	4433266	9606.ENSP00000226218	9606.ENSP00000223095	0	0	0	0	0.063	0.870	0.900	0.890	0.998
CHEK2	TP53	4445704	4435880	9606.ENSP00000372023	9606.ENSP00000269305	0	0	0	0	0.096	0.379	0.900	0.972	0.998
MST1	MST1R	4448725	4437287	9606.ENSP00000414287	9606.ENSP00000296474	0	0	0	0	0.077	0.870	0.900	0.864	0.998
PLG	SERPINE1	4438461	4433266	9606.ENSP00000308938	9606.ENSP00000223095	0	0	0	0	0.063	0.435	0.900	0.978	0.998
FASLG	FAS	4442944	4441783	9606.ENSP00000356694	9606.ENSP00000347979	0	0	0	0	0	0.860	0.900	0.905	0.998
JAK2	STAT3	4445579	4435468	9606.ENSP00000371067	9606.ENSP00000264657	0	0	0	0	0.055	0.472	0.900	0.979	0.998
RELA	NFKBIA	4447098	4432983	9606.ENSP00000384273	9606.ENSP00000216797	0	0.003	0	0	0.084	0.953	0.900	0.770	0.998
IL4R	IL13	4446450	4438088	9606.ENSP00000379111	9606.ENSP00000304915	0	0	0	0	0	0.870	0.900	0.873	0.998
CXCR4	CXCL12	4447439	4446453	9606.ENSP00000386884	9606.ENSP00000379140	0	0	0	0	0	0.457	0.900	0.971	0.998
CFB	C3	4448835	4433951	9606.ENSP00000416561	9606.ENSP00000245907	0	0	0	0	0.310	0.873	0.900	0.869	0.998
IL10	IL10RA	4448642	4433397	9606.ENSP00000412237	9606.ENSP00000227752	0	0	0	0	0.075	0.870	0.900	0.923	0.998
IL1R1	IL1RN	4447368	4434682	9606.ENSP00000386380	9606.ENSP00000259206	0	0	0	0	0.088	0.872	0.900	0.865	0.998
TGFBR2	TGFB3	4442197	4433716	9606.ENSP00000351905	9606.ENSP00000238682	0	0	0	0	0.062	0.961	0.900	0.685	0.998
DKK1	LRP6	4444299	4434860	9606.ENSP00000363081	9606.ENSP00000261349	0	0	0	0	0	0.875	0.900	0.896	0.998
TAC1	TACR1	4439413	4437971	9606.ENSP00000321106	9606.ENSP00000303522	0	0	0	0	0.062	0.667	0.900	0.959	0.998
P4HB	HSP90B1	4439955	4437604	9606.ENSP00000327801	9606.ENSP00000299767	0	0	0	0	0.627	0.821	0.900	0.810	0.998
IGFBP3	IGF1	4445494	4437883	9606.ENSP00000370473	9606.ENSP00000302665	0	0	0	0	0	0.379	0.900	0.971	0.998
IL1R1	IL1B	4447368	4435241	9606.ENSP00000386380	9606.ENSP00000263341	0	0	0	0	0.076	0.875	0.900	0.893	0.998
TRAF6	TLR4	4449680	4444300	9606.ENSP00000433623	9606.ENSP00000363089	0	0	0	0	0.062	0.902	0.900	0.808	0.998
IL17F	IL17RA	4440787	4439403	9606.ENSP00000337432	9606.ENSP00000320936	0	0	0	0	0	0.829	0.900	0.914	0.998
CASP1	IL18	4449658	4436375	9606.ENSP00000433138	9606.ENSP00000280357	0	0	0	0	0.097	0.379	0.900	0.972	0.998
F5	F2	4442956	4438421	9606.ENSP00000356771	9606.ENSP00000308541	0	0	0	0	0.156	0.920	0.900	0.763	0.998
APAF1	CASP3	4450251	4438651	9606.ENSP00000448165	9606.ENSP00000311032	0	0	0	0	0.067	0.825	0.900	0.935	0.998
THBD	F2	4444829	4438421	9606.ENSP00000366307	9606.ENSP00000308541	0	0	0	0	0	0.899	0.900	0.878	0.998
MICA	KLRK1	4448677	4433780	9606.ENSP00000413079	9606.ENSP00000240618	0	0	0	0	0	0.870	0	0.984	0.997
LTA	TNFRSF1A	4448275	4432688	9606.ENSP00000403495	9606.ENSP00000162749	0	0	0	0	0.061	0.890	0.900	0.801	0.997
NOD1	RIPK2	4433257	4433128	9606.ENSP00000222823	9606.ENSP00000220751	0	0	0	0	0	0.384	0.900	0.963	0.997
HSPA1A	HSP90AA1	4444600	4440643	9606.ENSP00000364802	9606.ENSP00000335153	0	0	0	0	0.317	0.713	0.900	0.876	0.997
IL10	TNF	4448642	4448041	9606.ENSP00000412237	9606.ENSP00000398698	0	0	0	0	0.097	0	0.900	0.974	0.997
IL3RA	IL3	4439962	4437348	9606.ENSP00000327890	9606.ENSP00000296870	0	0	0	0	0	0.870	0.900	0.846	0.997
ITGB3	SHC1	4450406	4448165	9606.ENSP00000452786	9606.ENSP00000401303	0	0	0	0	0.062	0.974	0.900	0.161	0.997
FOXP3	IL2	4444690	4433376	9606.ENSP00000365380	9606.ENSP00000226730	0	0	0	0	0	0.472	0.900	0.958	0.997
PCNA	MSH2	4445167	4433580	9606.ENSP00000368458	9606.ENSP00000233146	0	0	0	0	0.757	0.817	0.900	0.545	0.997
IL6	STAT3	4447254	4435468	9606.ENSP00000385675	9606.ENSP00000264657	0	0	0	0	0	0.269	0.900	0.970	0.997
ITGAX	ITGB2	4450468	4446737	9606.ENSP00000454623	9606.ENSP00000380948	0	0	0	0	0.410	0.905	0.900	0.579	0.997
ELAVL1	HNRNPA1	4447216	4441190	9606.ENSP00000385269	9606.ENSP00000341826	0	0	0.350	0.594	0.949	0.302	0.900	0.671	0.997
JUN	FOSB	4443699	4433953	9606.ENSP00000360266	9606.ENSP00000245919	0	0	0	0	0.551	0.539	0.900	0.906	0.997
IL1B	IL1A	4435241	4435240	9606.ENSP00000263341	9606.ENSP00000263339	0	0	0	0	0.753	0	0.900	0.921	0.997
CCR2	CCL2	4436955	4433339	9606.ENSP00000292301	9606.ENSP00000225831	0	0	0	0	0.061	0.437	0.800	0.975	0.997
CASP1	NLRC4	4449658	4447203	9606.ENSP00000433138	9606.ENSP00000385090	0	0	0	0	0.170	0.454	0.900	0.954	0.997
HSP90AA1	HSPA4	4440643	4437917	9606.ENSP00000335153	9606.ENSP00000302961	0	0	0	0	0.660	0.761	0	0.974	0.997
CCL21	CCR7	4434713	4433992	9606.ENSP00000259607	9606.ENSP00000246657	0	0	0	0	0.062	0.379	0.900	0.960	0.997
IL10	IL6	4448642	4447254	9606.ENSP00000412237	9606.ENSP00000385675	0	0	0	0	0.077	0	0.900	0.974	0.997
IL6	IL6ST	4447254	4445526	9606.ENSP00000385675	9606.ENSP00000370698	0	0	0	0	0.052	0.875	0.900	0.774	0.997
FOXP3	CTLA4	4444690	4438004	9606.ENSP00000365380	9606.ENSP00000303939	0	0	0	0	0.088	0.268	0.900	0.961	0.997
IL18	IL18RAP	4436375	4435408	9606.ENSP00000280357	9606.ENSP00000264260	0	0	0	0	0	0.870	0.900	0.792	0.997
TGFBR2	TGFB1	4442197	4433189	9606.ENSP00000351905	9606.ENSP00000221930	0	0	0	0	0.111	0.920	0.900	0.674	0.997
CREB1	EP300	4447522	4435224	9606.ENSP00000387699	9606.ENSP00000263253	0	0	0	0	0.061	0.863	0.900	0.854	0.997
VIP	VIPR1	4442841	4439908	9606.ENSP00000356213	9606.ENSP00000327246	0	0	0	0	0.070	0.713	0.900	0.905	0.997
CCL4	CCR5	4451651	4436956	9606.ENSP00000482259	9606.ENSP00000292303	0	0	0	0	0.374	0.722	0.900	0.856	0.997
STAT6	IL4	4437641	4433533	9606.ENSP00000300134	9606.ENSP00000231449	0	0	0	0	0.062	0	0.900	0.977	0.997
CASP1	NLRP3	4449658	4440784	9606.ENSP00000433138	9606.ENSP00000337383	0	0	0	0	0.155	0	0.900	0.972	0.997
MMP9	TIMP1	4443919	4433052	9606.ENSP00000361405	9606.ENSP00000218388	0	0	0	0	0.063	0.457	0.900	0.957	0.997
IL15RA	IL15	4446659	4437305	9606.ENSP00000380421	9606.ENSP00000296545	0	0	0	0	0.098	0.912	0.900	0.731	0.997
GHR	GH1	4451768	4438810	9606.ENSP00000483403	9606.ENSP00000312673	0	0	0	0	0	0.870	0.900	0.752	0.996
IL10	CXCL8	4448642	4438229	9606.ENSP00000412237	9606.ENSP00000306512	0	0	0	0	0.061	0	0.900	0.962	0.996
IL23R	IL23A	4439435	4433418	9606.ENSP00000321345	9606.ENSP00000228534	0	0	0	0	0	0.870	0.900	0.760	0.996
JUN	MAPK1	4443699	4432880	9606.ENSP00000360266	9606.ENSP00000215832	0	0	0	0	0	0.411	0.900	0.952	0.996
CCL19	CCR7	4438451	4433992	9606.ENSP00000308815	9606.ENSP00000246657	0	0	0	0	0.152	0.379	0.900	0.944	0.996
IGF2	IGFBP3	4447717	4445494	9606.ENSP00000391826	9606.ENSP00000370473	0	0	0	0	0.155	0.379	0.900	0.938	0.996
CSF2RA	CSF2	4447840	4437349	9606.ENSP00000394227	9606.ENSP00000296871	0	0	0	0	0	0.870	0.900	0.745	0.996
CASP1	IL1B	4449658	4435241	9606.ENSP00000433138	9606.ENSP00000263341	0	0	0	0	0.287	0.457	0.900	0.917	0.996
HSP90AA1	AHSA1	4440643	4432965	9606.ENSP00000335153	9606.ENSP00000216479	0	0	0	0	0.689	0.827	0	0.934	0.996
IL10	IL1B	4448642	4435241	9606.ENSP00000412237	9606.ENSP00000263341	0	0	0	0	0.085	0	0.900	0.960	0.996
CCL25	CCR9	4445907	4442025	9606.ENSP00000375086	9606.ENSP00000350256	0	0	0	0	0.062	0.472	0.900	0.935	0.996
MTR	MTRR	4442697	4435473	9606.ENSP00000355536	9606.ENSP00000264668	0	0	0	0	0.063	0.379	0.900	0.951	0.996
PSTPIP1	MEFV	4450402	4433096	9606.ENSP00000452746	9606.ENSP00000219596	0	0	0	0	0.096	0.379	0.900	0.943	0.996
PSMB9	PSMD7	4444464	4433080	9606.ENSP00000363993	9606.ENSP00000219313	0	0	0	0	0.558	0.869	0.900	0.431	0.996
AGT	ACE	4442719	4436887	9606.ENSP00000355627	9606.ENSP00000290866	0	0	0	0	0.061	0.379	0.900	0.948	0.996
IL6	IL4	4447254	4433533	9606.ENSP00000385675	9606.ENSP00000231449	0	0	0	0	0	0	0.900	0.968	0.996
LTB	LTBR	4448557	4433438	9606.ENSP00000410481	9606.ENSP00000228918	0	0	0	0	0	0.882	0.900	0.690	0.996
AGER	HMGB1	4444498	4441512	9606.ENSP00000364210	9606.ENSP00000345347	0	0	0	0	0	0.472	0.900	0.937	0.996
LTA	LTBR	4448275	4433438	9606.ENSP00000403495	9606.ENSP00000228918	0	0	0	0	0	0.882	0.900	0.696	0.996
FOS	EGR1	4438204	4433758	9606.ENSP00000306245	9606.ENSP00000239938	0	0	0	0	0.961	0.073	0	0.913	0.996
CXCR3	CXCL9	4444247	4442567	9606.ENSP00000362795	9606.ENSP00000354901	0	0	0	0	0.122	0.379	0.900	0.940	0.996
TLR4	HMGB1	4444300	4441512	9606.ENSP00000363089	9606.ENSP00000345347	0	0	0	0	0	0.472	0.900	0.935	0.996
IL10	CCL2	4448642	4433339	9606.ENSP00000412237	9606.ENSP00000225831	0	0	0	0	0	0	0.900	0.955	0.995
FOXO3	EP300	4447277	4435224	9606.ENSP00000385824	9606.ENSP00000263253	0	0	0	0	0.086	0.863	0.900	0.692	0.995
CSF2	IL3	4437349	4437348	9606.ENSP00000296871	9606.ENSP00000296870	0	0	0	0	0.061	0	0.900	0.955	0.995
IL18R1	IL18	4447483	4436375	9606.ENSP00000387211	9606.ENSP00000280357	0	0	0	0	0	0.870	0.900	0.674	0.995
MTHFR	MTR	4444752	4442697	9606.ENSP00000365777	9606.ENSP00000355536	0.185	0.073	0	0	0.148	0.103	0.900	0.935	0.995
TNFSF14	TNFRSF14	4450900	4441780	9606.ENSP00000469049	9606.ENSP00000347948	0	0	0	0	0.063	0.889	0.800	0.787	0.995
TSLP	IL7R	4440990	4438199	9606.ENSP00000339804	9606.ENSP00000306157	0	0	0	0	0	0.899	0.900	0.623	0.995
TLR1	TLR2	4442576	4434743	9606.ENSP00000354932	9606.ENSP00000260010	0	0	0	0.771	0.507	0.882	0.900	0.962	0.995
JUN	MAPK14	4443699	4433482	9606.ENSP00000360266	9606.ENSP00000229795	0	0	0	0	0	0.471	0.900	0.918	0.995
CASP1	CARD8	4449658	4445959	9606.ENSP00000433138	9606.ENSP00000375767	0	0	0	0	0.076	0.379	0.900	0.925	0.995
KSR1	MAP2K1	4446877	4437859	9606.ENSP00000381958	9606.ENSP00000302486	0	0	0	0	0.063	0.827	0.900	0.767	0.995
IL10RB	IL10RA	4436842	4433397	9606.ENSP00000290200	9606.ENSP00000227752	0	0	0	0	0.079	0.379	0.900	0.928	0.995
IL12B	IL23A	4433529	4433418	9606.ENSP00000231228	9606.ENSP00000228534	0	0	0	0	0	0.870	0.900	0.656	0.995
IGF2	IGFBP5	4447717	4433604	9606.ENSP00000391826	9606.ENSP00000233813	0	0	0	0	0.195	0.681	0.900	0.852	0.995
SOCS3	STAT3	4440175	4435468	9606.ENSP00000330341	9606.ENSP00000264657	0	0	0	0	0.103	0.106	0.900	0.954	0.995
IL10	STAT3	4448642	4435468	9606.ENSP00000412237	9606.ENSP00000264657	0	0	0	0	0	0.429	0.900	0.933	0.995
JUND	FOSB	4434256	4433953	9606.ENSP00000252818	9606.ENSP00000245919	0	0	0	0	0.131	0.588	0.900	0.882	0.995
TNFRSF1B	TNFRSF1A	4444700	4432688	9606.ENSP00000365435	9606.ENSP00000162749	0	0	0	0	0.063	0.336	0.900	0.923	0.994
MYO9B	RHOA	4450993	4448110	9606.ENSP00000471457	9606.ENSP00000400175	0	0	0	0	0.054	0.899	0.900	0.441	0.994
CSF2	IL2	4437349	4433376	9606.ENSP00000296871	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0.950	0.994
VEGFA	STAT3	4451310	4435468	9606.ENSP00000478570	9606.ENSP00000264657	0	0	0	0	0	0.434	0.900	0.916	0.994
ITGB3	FN1	4450406	4441661	9606.ENSP00000452786	9606.ENSP00000346839	0	0	0	0	0.098	0.870	0.900	0.616	0.994
HRAS	NF1	4448459	4442095	9606.ENSP00000407586	9606.ENSP00000351015	0	0	0	0	0.063	0.558	0.900	0.884	0.994
IL18BP	IL18	4447090	4436375	9606.ENSP00000384212	9606.ENSP00000280357	0	0	0	0	0	0.379	0.900	0.920	0.994
NLRP1	CASP1	4451305	4449658	9606.ENSP00000478516	9606.ENSP00000433138	0	0	0	0	0.087	0.320	0.900	0.918	0.994
MMP1	TIMP1	4439553	4433052	9606.ENSP00000322788	9606.ENSP00000218388	0	0	0	0	0.156	0.887	0	0.951	0.994
ADIPOQ	PPARG	4447630	4436745	9606.ENSP00000389814	9606.ENSP00000287820	0	0	0	0	0.063	0	0.900	0.943	0.994
PSMB10	PSMD7	4442129	4433080	9606.ENSP00000351314	9606.ENSP00000219313	0	0	0	0	0.650	0.730	0.900	0.467	0.994
HRAS	MAP2K1	4448459	4437859	9606.ENSP00000407586	9606.ENSP00000302486	0	0	0	0	0.134	0.586	0.900	0.857	0.994
TLR4	IRAK1	4444300	4443435	9606.ENSP00000363089	9606.ENSP00000358997	0	0	0	0	0	0.579	0.900	0.877	0.994
JAK2	SOCS3	4445579	4440175	9606.ENSP00000371067	9606.ENSP00000330341	0	0	0	0	0.062	0.472	0.900	0.906	0.994
NFKB2	NFKBIA	4443433	4432983	9606.ENSP00000358983	9606.ENSP00000216797	0	0	0	0.719	0.132	0.925	0.900	0.804	0.994
TRAF6	CD40	4449680	4443911	9606.ENSP00000433623	9606.ENSP00000361359	0	0	0	0	0.062	0.829	0.900	0.688	0.994
HMGB1	TLR2	4441512	4434743	9606.ENSP00000345347	9606.ENSP00000260010	0	0	0	0	0	0.472	0.900	0.890	0.993
ADAM17	TIMP3	4438549	4435687	9606.ENSP00000309968	9606.ENSP00000266085	0	0	0	0	0	0.968	0	0.813	0.993
JUN	EGR1	4443699	4433758	9606.ENSP00000360266	9606.ENSP00000239938	0	0	0	0	0.309	0.413	0.900	0.859	0.993
VEGFA	EGF	4451310	4435570	9606.ENSP00000478570	9606.ENSP00000265171	0	0	0	0	0	0	0.900	0.937	0.993
IL10	CSF2	4448642	4437349	9606.ENSP00000412237	9606.ENSP00000296871	0	0	0	0	0.061	0	0.900	0.937	0.993
IL17A	STAT3	4441397	4435468	9606.ENSP00000344192	9606.ENSP00000264657	0	0	0	0	0	0.299	0.900	0.916	0.993
UGT1A1	UGT1A7	4444184	4444181	9606.ENSP00000362549	9606.ENSP00000362525	0	0	0	0.986	0.062	0.993	0	0.839	0.993
VEGFA	IGF1	4451310	4437883	9606.ENSP00000478570	9606.ENSP00000302665	0	0	0	0	0	0	0.900	0.936	0.993
CCL3L3	CCR5	4451503	4436956	9606.ENSP00000480558	9606.ENSP00000292303	0	0	0	0	0.205	0.379	0.800	0.940	0.993
VEGFA	NOS3	4451310	4437409	9606.ENSP00000478570	9606.ENSP00000297494	0	0	0	0	0.062	0	0.900	0.934	0.993
IL4R	STAT6	4446450	4437641	9606.ENSP00000379111	9606.ENSP00000300134	0	0	0	0	0.116	0.472	0.900	0.878	0.993
RELA	EP300	4447098	4435224	9606.ENSP00000384273	9606.ENSP00000263253	0	0	0	0	0	0.829	0.900	0.667	0.993
CCL5	CXCL8	4451102	4438229	9606.ENSP00000474412	9606.ENSP00000306512	0	0	0	0	0.064	0.397	0.900	0.904	0.993
CCL5	IL10	4451102	4448642	9606.ENSP00000474412	9606.ENSP00000412237	0	0	0	0	0.098	0	0.900	0.929	0.993
VEGFA	TGFB1	4451310	4433189	9606.ENSP00000478570	9606.ENSP00000221930	0	0	0	0	0	0	0.900	0.939	0.993
CREB1	JUN	4447522	4443699	9606.ENSP00000387699	9606.ENSP00000360266	0	0	0	0	0	0.457	0.900	0.880	0.993
CXCL8	IL4	4438229	4433533	9606.ENSP00000306512	9606.ENSP00000231449	0	0	0	0	0	0	0.900	0.927	0.992
JAK2	SOCS1	4445579	4440100	9606.ENSP00000371067	9606.ENSP00000329418	0	0	0	0	0.057	0.521	0.900	0.857	0.992
IL18	IL1B	4436375	4435241	9606.ENSP00000280357	9606.ENSP00000263341	0	0	0	0	0.095	0	0.900	0.921	0.992
ATF2	JUND	4435379	4434256	9606.ENSP00000264110	9606.ENSP00000252818	0	0	0	0.580	0.064	0.911	0.900	0.461	0.992
TNF	IL13	4448041	4438088	9606.ENSP00000398698	9606.ENSP00000304915	0	0	0	0	0.061	0	0.900	0.925	0.992
CCL5	CCR3	4451102	4449993	9606.ENSP00000474412	9606.ENSP00000441600	0	0	0	0	0.061	0.402	0.900	0.880	0.992
IL6	SOCS3	4447254	4440175	9606.ENSP00000385675	9606.ENSP00000330341	0	0	0	0	0.207	0	0.900	0.917	0.992
RAC1	ARHGDIA	4441834	4435881	9606.ENSP00000348461	9606.ENSP00000269321	0	0	0	0	0.086	0.718	0.900	0.726	0.992
KNG1	BDKRB1	4435537	4432976	9606.ENSP00000265023	9606.ENSP00000216629	0	0	0	0	0	0.667	0.900	0.797	0.992
TNF	NFKBIA	4448041	4432983	9606.ENSP00000398698	9606.ENSP00000216797	0	0	0	0	0.152	0.379	0.900	0.874	0.992
RELA	NFKB1	4447098	4433374	9606.ENSP00000384273	9606.ENSP00000226574	0	0	0	0.776	0.133	0.900	0.900	0.886	0.992
IRAK1	TOLLIP	4443435	4438950	9606.ENSP00000358997	9606.ENSP00000314733	0	0	0	0	0.061	0.543	0.900	0.851	0.992
ARHGDIA	RAC2	4435881	4434085	9606.ENSP00000269321	9606.ENSP00000249071	0	0	0	0	0.118	0.718	0.900	0.725	0.992
ITGAM	ITGB2	4449997	4446737	9606.ENSP00000441691	9606.ENSP00000380948	0	0	0	0	0.622	0.548	0.900	0.634	0.992
TCF7L2	EP300	4443308	4435224	9606.ENSP00000358404	9606.ENSP00000263253	0	0	0	0	0.098	0.826	0.900	0.589	0.992
IL10	CD86	4448642	4440320	9606.ENSP00000412237	9606.ENSP00000332049	0	0	0	0	0.084	0	0.900	0.927	0.992
LEP	STAT3	4438805	4435468	9606.ENSP00000312652	9606.ENSP00000264657	0	0	0	0	0	0	0.900	0.928	0.992
LTB	LTA	4448557	4448275	9606.ENSP00000410481	9606.ENSP00000403495	0	0	0	0.647	0.215	0.882	0.900	0.842	0.992
FOS	MAPK1	4438204	4432880	9606.ENSP00000306245	9606.ENSP00000215832	0	0	0	0	0	0.523	0.900	0.852	0.992
IGF1	EGF	4437883	4435570	9606.ENSP00000302665	9606.ENSP00000265171	0	0	0	0	0	0	0.900	0.926	0.992
IRAK1	TAB2	4443435	4442887	9606.ENSP00000358997	9606.ENSP00000356426	0	0	0	0	0	0.753	0.900	0.722	0.992
